cqlsh> TRACING ON;
Now Tracing is enabled
cqlsh> SELECT * FROM timur.task4_mv WHERE NAME = 'Ivan' AND dept_name = 'HR' ALLOW FILTERING;

 id | dept_name | name
----+-----------+------

(0 rows)

Tracing session: 366e2250-1069-11eb-a2f3-41899bc8b0fd

 activity                                                                                                                     | timestamp                  | source        | source_elapsed | client
                               Sending RANGE_SLICE message to /172.31.77.183 [MessagingService-Outgoing-/172.31.77.183-Small] | 2020-10-17 11:09:23.578000 |   172.31.78.3 |           4880 | 172.31.78.3
                                      RANGE_SLICE message received from /172.31.78.3 [MessagingService-Incoming-/172.31.78.3] | 2020-10-17 11:09:23.578000 | 172.31.77.183 |            383 | 172.31.78.3
                               Sending RANGE_SLICE message to /172.31.77.183 [MessagingService-Outgoing-/172.31.77.183-Small] | 2020-10-17 11:09:23.578000 |   172.31.78.3 |           4904 | 172.31.78.3
                Executing seq scan across 1 sstables for (max(-9219472295650136953), max(-9141377318625557785)] [ReadStage-2] | 2020-10-17 11:09:23.578000 | 172.31.77.183 |            554 | 172.31.78.3
                                                                         Read 0 live rows and 0 tombstone cells [ReadStage-3] | 2020-10-17 11:09:23.578000 |   172.31.78.3 |           5219 | 172.31.78.3
                Executing seq scan across 1 sstables for (max(-8964061038878422672), max(-8939572127585578196)] [ReadStage-1] | 2020-10-17 11:09:23.578000 | 172.31.77.183 |            813 | 172.31.78.3
                Executing seq scan across 1 sstables for (max(-8824903023438500038), max(-8810909035427940914)] [ReadStage-3] | 2020-10-17 11:09:23.578000 |   172.31.78.3 |           5262 | 172.31.78.3
                Executing seq scan across 1 sstables for (max(-8787260271478667831), max(-8758714373772827197)] [ReadStage-5] | 2020-10-17 11:09:23.579000 |   172.31.78.3 |           5680 | 172.31.78.3
                Executing seq scan across 1 sstables for (max(-8740087707893796828), max(-8729613095813447996)] [ReadStage-7] | 2020-10-17 11:09:23.579000 |   172.31.78.3 |           5757 | 172.31.78.3
                                                                         Read 0 live rows and 0 tombstone cells [ReadStage-7] | 2020-10-17 11:09:23.580000 |   172.31.78.3 |           7054 | 172.31.78.3
                                                                         Read 0 live rows and 0 tombstone cells [ReadStage-5] | 2020-10-17 11:09:23.581000 |   172.31.78.3 |           8602 | 172.31.78.3
                Executing seq scan across 1 sstables for (max(-8810909035427940914), max(-8787260271478667831)] [ReadStage-3] | 2020-10-17 11:09:23.581000 |   172.31.75.9 |           6255 | 172.31.78.3
                                                                         Read 0 live rows and 0 tombstone cells [ReadStage-1] | 2020-10-17 11:09:23.582000 | 172.31.77.183 |           4022 | 172.31.78.3
                                                                             Enqueuing response to /172.31.78.3 [ReadStage-1] | 2020-10-17 11:09:23.582000 | 172.31.77.183 |           4069 | 172.31.78.3
                Executing seq scan across 1 sstables for (max(-8864316878286440625), max(-8863046896138324844)] [ReadStage-4] | 2020-10-17 11:09:23.582000 | 172.31.77.183 |           4177 | 172.31.78.3
                                                                         Read 0 live rows and 0 tombstone cells [ReadStage-4] | 2020-10-17 11:09:23.582000 | 172.31.77.183 |           4420 | 172.31.78.3
                                                                             Enqueuing response to /172.31.78.3 [ReadStage-4] | 2020-10-17 11:09:23.582000 | 172.31.77.183 |           4445 | 172.31.78.3
                Executing seq scan across 1 sstables for (max(-8837459838797178564), max(-8824903023438500038)] [ReadStage-3] | 2020-10-17 11:09:23.582000 | 172.31.77.183 |           4989 | 172.31.78.3
                                                                         Read 0 live rows and 0 tombstone cells [ReadStage-3] | 2020-10-17 11:09:23.583000 |   172.31.78.3 |          10278 | 172.31.78.3
                                                                         Read 0 live rows and 0 tombstone cells [ReadStage-2] | 2020-10-17 11:09:23.583000 |   172.31.75.9 |           8779 | 172.31.78.3
                                                                             Enqueuing response to /172.31.78.3 [ReadStage-2] | 2020-10-17 11:09:23.583000 |   172.31.75.9 |           8830 | 172.31.78.3
                                                                         Read 0 live rows and 0 tombstone cells [ReadStage-3] | 2020-10-17 11:09:23.584000 | 172.31.77.183 |           6278 | 172.31.78.3
                              Sending REQUEST_RESPONSE message to /172.31.78.3 [MessagingService-Outgoing-/172.31.78.3-Small] | 2020-10-17 11:09:23.584000 |   172.31.75.9 |           8988 | 172.31.78.3
                                                                             Enqueuing response to /172.31.78.3 [ReadStage-3] | 2020-10-17 11:09:23.584000 | 172.31.77.183 |           6321 | 172.31.78.3
                Executing seq scan across 1 sstables for (max(-8758714373772827197), max(-8740087707893796828)] [ReadStage-4] | 2020-10-17 11:09:23.584000 |   172.31.75.9 |           9190 | 172.31.78.3
                              Sending REQUEST_RESPONSE message to /172.31.78.3 [MessagingService-Outgoing-/172.31.78.3-Small] | 2020-10-17 11:09:23.584000 | 172.31.77.183 |           6510 | 172.31.78.3
                                                                         Read 0 live rows and 0 tombstone cells [ReadStage-3] | 2020-10-17 11:09:23.584000 |   172.31.75.9 |           9981 | 172.31.78.3
                              Sending REQUEST_RESPONSE message to /172.31.78.3 [MessagingService-Outgoing-/172.31.78.3-Small] | 2020-10-17 11:09:23.584000 | 172.31.77.183 |           6581 | 172.31.78.3
                              Sending REQUEST_RESPONSE message to /172.31.78.3 [MessagingService-Outgoing-/172.31.78.3-Small] | 2020-10-17 11:09:23.584000 | 172.31.77.183 |           6651 | 172.31.78.3
                                 REQUEST_RESPONSE message received from /172.31.75.9 [MessagingService-Incoming-/172.31.75.9] | 2020-10-17 11:09:23.585000 |   172.31.78.3 |          12018 | 172.31.78.3
                                                                             Enqueuing response to /172.31.78.3 [ReadStage-3] | 2020-10-17 11:09:23.585000 |   172.31.75.9 |          10030 | 172.31.78.3
                                                               Processing response from /172.31.75.9 [RequestResponseStage-7] | 2020-10-17 11:09:23.585000 |   172.31.78.3 |          12095 | 172.31.78.3
                              Sending REQUEST_RESPONSE message to /172.31.78.3 [MessagingService-Outgoing-/172.31.78.3-Small] | 2020-10-17 11:09:23.585000 |   172.31.75.9 |          10114 | 172.31.78.3
                             REQUEST_RESPONSE message received from /172.31.77.183 [MessagingService-Incoming-/172.31.77.183] | 2020-10-17 11:09:23.585000 |   172.31.78.3 |          12336 | 172.31.78.3
                             REQUEST_RESPONSE message received from /172.31.77.183 [MessagingService-Incoming-/172.31.77.183] | 2020-10-17 11:09:23.585001 |   172.31.78.3 |          12407 | 172.31.78.3
                                                             Processing response from /172.31.77.183 [RequestResponseStage-7] | 2020-10-17 11:09:23.585001 |   172.31.78.3 |          12446 | 172.31.78.3
                                                             Processing response from /172.31.77.183 [RequestResponseStage-7] | 2020-10-17 11:09:23.585001 |   172.31.78.3 |          12480 | 172.31.78.3
                             REQUEST_RESPONSE message received from /172.31.77.183 [MessagingService-Incoming-/172.31.77.183] | 2020-10-17 11:09:23.585001 |   172.31.78.3 |          12542 | 172.31.78.3
                                                             Processing response from /172.31.77.183 [RequestResponseStage-7] | 2020-10-17 11:09:23.586000 |   172.31.78.3 |          12987 | 172.31.78.3
                                                                         Read 0 live rows and 0 tombstone cells [ReadStage-4] | 2020-10-17 11:09:23.586000 |   172.31.75.9 |          11080 | 172.31.78.3
                                 REQUEST_RESPONSE message received from /172.31.75.9 [MessagingService-Incoming-/172.31.75.9] | 2020-10-17 11:09:23.586000 |   172.31.78.3 |          13160 | 172.31.78.3
                                                                             Enqueuing response to /172.31.78.3 [ReadStage-4] | 2020-10-17 11:09:23.586000 |   172.31.75.9 |          11111 | 172.31.78.3
                                                               Processing response from /172.31.75.9 [RequestResponseStage-5] | 2020-10-17 11:09:23.586000 |   172.31.78.3 |          13277 | 172.31.78.3
                              Sending REQUEST_RESPONSE message to /172.31.78.3 [MessagingService-Outgoing-/172.31.78.3-Small] | 2020-10-17 11:09:23.586000 |   172.31.75.9 |          11212 | 172.31.78.3
                                 REQUEST_RESPONSE message received from /172.31.75.9 [MessagingService-Incoming-/172.31.75.9] | 2020-10-17 11:09:23.587000 |   172.31.78.3 |          14213 | 172.31.78.3
                                                               Processing response from /172.31.75.9 [RequestResponseStage-5] | 2020-10-17 11:09:23.587000 |   172.31.78.3 |          14261 | 172.31.78.3
                                                                         Read 0 live rows and 0 tombstone cells [ReadStage-2] | 2020-10-17 11:09:23.592000 | 172.31.77.183 |          14199 | 172.31.78.3
                                                                             Enqueuing response to /172.31.78.3 [ReadStage-2] | 2020-10-17 11:09:23.592000 | 172.31.77.183 |          14337 | 172.31.78.3
                              Sending REQUEST_RESPONSE message to /172.31.78.3 [MessagingService-Outgoing-/172.31.78.3-Small] | 2020-10-17 11:09:23.592000 | 172.31.77.183 |          14417 | 172.31.78.3
                             REQUEST_RESPONSE message received from /172.31.77.183 [MessagingService-Incoming-/172.31.77.183] | 2020-10-17 11:09:23.593000 |   172.31.78.3 |          19993 | 172.31.78.3
                                                             Processing response from /172.31.77.183 [RequestResponseStage-6] | 2020-10-17 11:09:23.593000 |   172.31.78.3 |          20088 | 172.31.78.3
                                                                         Read 0 live rows and 0 tombstone cells [ReadStage-1] | 2020-10-17 11:09:23.597000 |   172.31.75.9 |          22139 | 172.31.78.3
                                                                             Enqueuing response to /172.31.78.3 [ReadStage-1] | 2020-10-17 11:09:23.597000 |   172.31.75.9 |          22189 | 172.31.78.3
                              Sending REQUEST_RESPONSE message to /172.31.78.3 [MessagingService-Outgoing-/172.31.78.3-Small] | 2020-10-17 11:09:23.597000 |   172.31.75.9 |          22282 | 172.31.78.3
                                 REQUEST_RESPONSE message received from /172.31.75.9 [MessagingService-Incoming-/172.31.75.9] | 2020-10-17 11:09:23.598000 |   172.31.78.3 |          25324 | 172.31.78.3
                                                               Processing response from /172.31.75.9 [RequestResponseStage-6] | 2020-10-17 11:09:23.598000 |   172.31.78.3 |          25519 | 172.31.78.3
                                      RANGE_SLICE message received from /172.31.78.3 [MessagingService-Incoming-/172.31.78.3] | 2020-10-17 11:09:23.601000 | 172.31.77.183 |             33 | 172.31.78.3
                                                                         Read 0 live rows and 0 tombstone cells [ReadStage-4] | 2020-10-17 11:09:23.601000 |   172.31.78.3 |          27950 | 172.31.78.3
                                      RANGE_SLICE message received from /172.31.78.3 [MessagingService-Incoming-/172.31.78.3] | 2020-10-17 11:09:23.601000 |   172.31.75.9 |             10 | 172.31.78.3
                                      RANGE_SLICE message received from /172.31.78.3 [MessagingService-Incoming-/172.31.78.3] | 2020-10-17 11:09:23.601000 | 172.31.77.183 |            179 | 172.31.78.3
                                      Didn't get any response rows; new concurrent requests: 20 [Native-Transport-Requests-1] | 2020-10-17 11:09:23.601000 |   172.31.78.3 |          28045 | 172.31.78.3
                                      RANGE_SLICE message received from /172.31.78.3 [MessagingService-Incoming-/172.31.78.3] | 2020-10-17 11:09:23.601000 |   172.31.75.9 |             60 | 172.31.78.3
